number,date,launch_name,cosmodrome,booster_rocket,result
421,21.10.1969 15:49:59,Запуск макета космического аппарата «Космос-304»,Плесецк,Космос-3М,Успешный
422,22.10.1969 17:09:59,Запуск автоматической межпланетной станции «Космос-305» к Луне,Байконур,Протон-К,Частично успешный
423,24.10.1969 12:40:00,Запуск космического аппарата «Космос-306»,Байконур,Восход,Успешный
424,24.10.1969 16:01:58,Запуск космического аппарата «Космос-307»,Капустин Яр,Космос-2,Успешный
425,04.11.1969 14:59:59,Запуск космического аппарата «Космос-308»,Плесецк,Космос-2,Успешный
426,12.11.1969 14:30:00,Запуск космического аппарата «Космос-309»,Плесецк,Восход,Успешный
427,15.11.1969 11:30:00,Запуск космического аппарата «Космос-310»,Байконур,Восход,Успешный
428,24.11.1969 14:00:04,Запуск космического аппарата «Космос-311»,Плесецк,Космос-2,Успешный
429,24.11.1969 19:49:59,Запуск космического аппарата «Космос-312»,Плесецк,Космос-3М,Успешный
430,28.11.1969 12:00:00,Запуск космического аппарата,Байконур,Протон-К,Аварийный
431,03.12.1969 16:20:02,Запуск космического аппарата «Космос-313»,Плесецк,Восход,Успешный
432,11.12.1969 15:58:59,Запуск космического аппарата «Космос-314»,Плесецк,Космос-2,Успешный
433,20.12.1969 06:26:00,Запуск космического аппарата «Космос-315»,Плесецк,Космос-3М,Успешный
434,23.12.1969 12:25:00,Запуск макета космического аппарата «Космос-316»,Байконур,Циклон-2,Успешный
435,23.12.1969 16:50:01,Запуск космического аппарата «Космос-317»,Плесецк,Восход,Успешный
436,25.12.1969 12:59:51,Запуск космического аппарата «Интеркосмос-2»,Капустин Яр,Космос-2,Успешный
437,27.12.1969 17:20:00,Запуск космического аппарата,Плесецк,Космос-3М,Аварийный
