number,date,launch_name,cosmodrome,booster_rocket,result
220,08.04.1967 12:00:33,Запуск беспилотного космического корабля «Космос-154»,Байконур,Протон-К,Успешный
221,12.04.1967 13:51:02,Запуск космического аппарата «Космос-155»,Байконур,Восход,Успешный
222,23.04.1967 03:35:00,Запуск пилотируемого космического корабля «Союз-1»,Байконур,Союз,Успешный
223,27.04.1967 15:50:02,Запуск космического аппарата «Космос-156»,Плесецк,Восток-2М,Успешный
224,12.05.1967 13:30:01,Запуск космического аппарата «Космос-157»,Байконур,Восток-2,Успешный
225,15.05.1967 14:00:00,Запуск макета космического аппарата «Космос-158»,Плесецк,Космос-3М,Успешный
226,17.05.1967 00:44:55,Запуск космического аппарата «Космос-159»,Байконур,Молния-М,Частично успешный
227,17.05.1967 19:05:02,Запуск космического аппарата «Космос-160»,Байконур,Р-36орб,Успешный
228,22.05.1967 17:00:00,Запуск космического аппарата «Космос-161»,Плесецк,Восход,Успешный
229,25.05.1967 01:50:00,Запуск космического аппарата «Молния-1»,Байконур,Молния,Успешный
230,01.06.1967 13:40:02,Запуск космического аппарата «Космос-162»,Байконур,Восход,Успешный
231,05.06.1967 08:03,Запуск космического аппарата «Космос-163»,Капустин Яр,Восток-2,Успешный
232,08.06.1967 16:00:01,Запуск космического аппарата «Космос-164»,Плесецк,Восход,Успешный
233,12.06.1967 05:39:45,Запуск автоматической межпланетной станции «Венера-4»,Байконур,Молния-М,Успешный
234,12.06.1967 21:06,Запуск космического аппарата «Космос-165»,Плесецк,Космос-2,Успешный
235,16.06.1967 07:44,Запуск космического аппарата «Космос-166»,Капустин Яр,Космос-2,Успешный
236,17.06.1967 05:36:38,Запуск автоматической межпланетной станции «Космос-167» к Венере,Байконур,Молния-М,Частично успешный
237,20.06.1967 14:00:00,Запуск космического аппарата,Плесецк,Восход,Аварийный
238,26.06.1967 07:30,Запуск макета космического аппарата,Плесецк,Космос-3М,Аварийный
239,04.07.1967 08:59:59,Запуск космического аппарата «Космос-168»,Байконур,Восход,Успешный
240,17.07.1967 19:45:04,Запуск космического аппарата «Космос-169»,Байконур,Р-36орб,Успешный
241,21.07.1967 09:00:04,Запуск космического аппарата,Байконур,Восход,Аварийный
242,31.07.1967 19:45:00,Запуск космического аппарата «Космос-170»,Байконур,Р-36орб,Успешный
243,08.08.1967 19:05:02,Запуск космического аппарата «Космос-171»,Байконур,Р-36орб,Успешный
244,09.08.1967 08:45:18,Запуск космического аппарата «Космос-172»,Байконур,Восход,Успешный
245,24.08.1967 07:59:49,Запуск космического аппарата «Космос-173»,Плесецк,Космос-2,Успешный
246,31.08.1967 11:00:03,Запуск космического аппарата «Космос-174»,Байконур,Молния,Успешный
247,01.09.1967 13:30,Запуск космического аппарата,Плесецк,Восход,Аварийный
248,11.09.1967 13:30,Запуск космического аппарата «Космос-175»,Плесецк,Восход,Успешный
249,12.09.1967 20:00,Запуск космического аппарата «Космос-176»,Плесецк,Космос-2,Успешный
250,16.09.1967 09:06:00,Запуск космического аппарата «Космос-177»,Байконур,Восход,Успешный
251,19.09.1967 17:45:03,Запуск космического аппарата «Космос-178»,Байконур,Р-36орб,Успешный
252,22.09.1967 17:05:05,Запуск космического аппарата «Космос-179»,Байконур,Р-36орб,Успешный
253,26.09.1967 13:20,Запуск космического аппарата «Космос-180»,Плесецк,Восход,Успешный
254,27.09.1967 14:00,Запуск макета космического аппарата,Плесецк,Космос-3М,Аварийный
255,28.09.1967 01:11:54,Запуск беспилотного космического корабля,Байконур,Протон-К,Аварийный
256,03.10.1967 08:00:01,Запуск космического аппарата «Молния-1»,Байконур,Молния,Успешный
257,11.10.1967 14:30:04,Запуск космического аппарата «Космос-181»,Плесецк,Восход,Успешный
258,16.10.1967 11:00,Запуск космического аппарата «Космос-182»,Байконур,Восход,Успешный
259,18.10.1967 16:30:01,Запуск космического аппарата «Космос-183»,Байконур,Р-36орб,Успешный
260,22.10.1967 11:40:01,Запуск космического аппарата «Молния-1»,Байконур,Молния,Успешный
261,25.10.1967 01:49:09,Запуск космического аппарата «Космос-184»,Плесецк,Восток-2М,Успешный
262,27.10.1967 05:21:19,Запуск космического аппарата «Космос-185»,Байконур,Циклон-2А,Успешный
263,27.10.1967 12:30:00,Запуск беспилотного космического корабля «Космос-186»,Байконур,Союз,Успешный
264,28.10.1967 16:15:01,Запуск космического аппарата «Космос-187»,Байконур,Р-36орб,Успешный
265,30.10.1967 11:12:41,Запуск беспилотного космического корабля «Космос-188»,Байконур,Союз,Успешный
266,30.10.1967 20:59:59,Запуск макета космического аппарата «Космос-189»,Плесецк,Космос-3М,Успешный
267,03.11.1967 14:20,Запуск космического аппарата «Космос-190»,Плесецк,Восход,Успешный
268,21.11.1967 17:29:48,Запуск космического аппарата «Космос-191»,Плесецк,Космос-2,Успешный
269,22.11.1967 22:07:59,Запуск беспилотного космического корабля,Байконур,Протон-К,Аварийный
270,23.11.1967 18:00:00,Запуск космического аппарата «Космос-192»,Плесецк,Космос-3М,Успешный
271,25.11.1967 14:30,Запуск космического аппарата «Космос-193»,Плесецк,Восход,Успешный
272,03.12.1967 15:00,Запуск космического аппарата «Космос-194»,Плесецк,Восход,Успешный
273,16.12.1967 15:00:37,Запуск космического аппарата «Космос-195»,Плесецк,Восход,Успешный
274,19.12.1967 09:30:07,Запуск космического аппарата «Космос-196»,Капустин Яр,Космос,Успешный
275,26.12.1967 12:01:59,Запуск космического аппарата «Космос-197»,Капустин Яр,Космос-2,Успешный
276,27.12.1967 14:28:51,Запуск космического аппарата «Космос-198»,Байконур,Циклон-2А,Успешный
277,16.01.1968 15:00:01,Запуск космического аппарата «Космос-199»,Плесецк,Восход,Частично успешный
278,20.01.1968 01:00:00,Запуск космического аппарата «Космос-200»,Плесецк,Космос-3М,Успешный
279,06.02.1968 11:00,Запуск космического аппарата «Космос-201»,Байконур,Восход,Успешный
280,07.02.1968 13:43:54,Запуск автоматической межпланетной станции к Луне,Байконур,Молния-М,Аварийный
281,20.02.1968 13:03:11,Запуск космического аппарата «Космос-202»,Капустин Яр,Космос-2,Успешный
282,20.02.1968 19:00:00,Запуск космического аппарата «Космос-203»,Плесецк,Космос-3М,Успешный
283,02.03.1968 21:29:23,Запуск беспилотного космического корабля «Зонд-4»,Байконур,Протон-К,Успешный
284,05.03.1968 14:20,Запуск космического аппарата «Космос-204»,Плесецк,Космос-2,Успешный
285,05.03.1968 15:30:01,Запуск космического аппарата «Космос-205»,Плесецк,Восход,Успешный
286,06.03.1968 14:02:57,Запуск космического аппарата,Капустин Яр,Космос-2,Аварийный
287,14.03.1968 12:34:01,Запуск космического аппарата «Космос-206»,Плесецк,Восток-2М,Успешный
288,16.03.1968 15:30:00,Запуск космического аппарата «Космос-207»,Плесецк,Восход,Успешный
289,21.03.1968 12:50,Запуск космического аппарата «Космос-208»,Байконур,Восход,Успешный
290,22.03.1968 12:30:34,Запуск космического аппарата «Космос-209»,Байконур,Циклон-2А,Успешный
291,03.04.1968 14:00,Запуск космического аппарата «Космос-210»,Плесецк,Восход,Успешный
292,07.04.1968 13:09:32,Запуск автоматической межпланетной станции «Луна-14»,Байконур,Молния-М,Успешный
293,09.04.1968 14:26:25,Запуск космического аппарата «Космос-211»,Плесецк,Космос-2,Успешный
294,14.04.1968 13:00:00,Запуск беспилотного космического корабля «Космос-212»,Байконур,Союз,Успешный
295,15.04.1968 12:34:17,Запуск беспилотного космического корабля «Космос-213»,Байконур,Союз,Успешный
296,18.04.1968 13:30:01,Запуск космического аппарата «Космос-214»,Плесецк,Восход,Успешный
297,19.04.1968 01:29:53,Запуск космического аппарата «Космос-215»,Капустин Яр,Космос-2,Успешный
298,20.04.1968 13:30:00,Запуск космического аппарата «Космос-216»,Байконур,Восход,Успешный
